C The parameters must be completely filled in, i.e. you can't
C leave them blank to default to the previous value.
I	1	0.0	0.5	8.00	20000
I	1	1.0	0.5	8.00	20000
I	1	2.0	0.5	8.07	20000
I	1	3.0	0.5	8.07	20000
I	1	4.0	0.5	8.09	20000
I	1	5.0	0.5	8.09	20000
I	1	6.0	1.5	8.07	20000
I	1	8.0	0.5	8.05	20000
I	1	9.0	0.5	8.05	20000
I	1	10.0	0.5	8.04	20000
I	1	11.0	0.5	8.04	20000
I	1	12.0	0.25	8.02	20000
I	1	12.5	0.25	8.02	20000
I	1	13.0	0.25	8.02	20000
I	1	13.5	0.25	8.02	20000
I	1	14.0	1	8.00	20000
C This is the second part
I	2	0.5	0.5	8.00	20000
I	2	1.5	0.5	7.00	20000
I	2	2.5	0.5	8.07	20000
I	2	3.5	0.5	7.07	20000
I	2	4.5	0.5	8.09	20000
I	2	5.5	0.5	7.09	20000
I	2	6.0	2.0	6.07	20000
I	2	8.5	0.5	8.05	20000
I	2	9.5	0.5	7.05	20000
I	2	10.5	0.5	6.04	20000
I	2	11.5	0.5	5.04	20000
I	2	12.25	0.25	4.02	20000
I	2	12.75	0.25	5.02	20000
I	2	13.25	0.25	6.02	20000
I	2	13.75	0.25	7.02	20000
I	2	14.00	1	5.00	20000
